Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,class_id
110.0,733.0,725.8,875.2,454.2,609.2,600.2,317.2,379.8,729.2,58.4,381.6,128.0,509.0,834.6,235.8,198.0,614.2,109.2,614.0,797.2,851.8,890.6,879.6,162.4,10
508.4,772.2,429.2,180.4,864.6,239.6,4.6,648.6,489.4,898.6,381.4,806.6,867.2,313.4,90.6,25.0,534.4,854.4,251.2,769.8,323.4,722.6,542.0,562.4,889.8,10
548.2,857.0,181.8,146.6,4.6,822.2,448.0,139.0,94.2,4.4,167.4,514.4,810.6,172.0,831.6,755.2,464.0,410.2,137.2,156.8,807.2,327.2,895.6,340.2,465.4,10
391.8,59.4,121.2,379.2,489.0,887.8,237.6,205.6,530.0,24.6,854.4,358.8,187.8,727.0,524.0,798.8,430.0,880.0,360.4,909.4,270.6,87.4,883.8,429.6,839.4,10
244.0,8.0,97.4,809.2,928.6,11.2,601.0,784.4,760.8,144.2,894.8,728.4,165.8,538.2,639.4,853.0,563.4,838.0,813.8,765.2,600.2,146.6,388.6,603.4,615.4,10
384.8,68.4,29.6,488.6,331.0,883.2,345.2,168.0,880.4,454.8,159.0,840.2,812.2,373.0,773.0,729.2,547.2,258.0,111.8,531.0,281.6,108.6,186.0,671.8,333.2,10
529.6,400.2,775.8,130.4,864.6,223.0,556.0,539.6,165.2,436.4,870.6,236.2,4.4,815.2,156.2,745.6,565.0,204.8,778.0,87.6,4.8,402.0,340.0,442.6,426.6,11
511.0,527.6,881.4,567.8,713.2,765.8,27.8,41.2,216.4,147.6,303.0,423.4,47.2,152.0,10.6,343.0,22.0,141.6,802.0,135.6,84.4,678.0,440.8,723.2,282.2,11
168.0,4.8,619.8,735.6,103.4,825.4,308.8,4.2,874.2,717.8,807.4,118.8,827.6,132.2,825.8,42.8,545.0,360.6,289.6,150.0,220.8,887.6,149.2,811.6,86.8,11
71.6,666.8,330.4,795.6,425.8,4.0,909.2,849.6,861.8,54.6,443.4,4.4,233.6,95.6,902.4,172.6,754.2,913.8,834.2,132.0,524.6,499.0,300.0,397.8,237.2,11
287.0,242.4,406.6,490.6,394.0,99.6,655.6,4.0,609.8,440.8,578.8,261.4,456.8,604.0,51.6,826.6,531.6,454.6,145.0,177.4,445.0,262.6,255.8,242.4,859.6,11
84.0,472.2,252.2,776.2,862.4,692.0,614.4,578.4,921.6,668.0,598.0,837.0,350.6,966.8,628.0,614.8,522.8,735.2,894.2,305.6,326.0,509.8,802.6,830.2,63.2,11
378.6,892.6,793.2,909.6,843.6,245.4,97.2,785.4,932.0,967.0,918.6,493.0,30.8,830.4,619.0,773.0,127.8,683.4,531.2,207.6,183.8,440.8,260.6,601.2,129.4,11
470.2,44.0,371.2,533.0,97.4,756.4,600.8,171.6,329.2,650.8,916.6,735.0,461.8,911.2,884.2,639.8,144.4,39.6,631.0,191.4,397.2,4.6,709.0,151.2,892.2,11
867.2,602.6,7.0,858.8,868.2,48.4,867.4,678.6,724.2,841.2,55.2,4.6,463.4,727.8,400.0,726.4,311.4,867.6,60.6,738.4,757.0,219.8,833.4,185.4,4.6,11
58.8,457.8,122.0,795.2,631.4,96.4,350.6,359.8,678.2,469.2,754.2,719.2,152.8,869.2,689.2,856.8,16.8,517.2,861.0,274.2,679.0,886.6,730.2,688.2,361.8,11
74.6,744.6,804.6,402.6,271.0,754.8,243.6,303.0,588.8,345.6,244.6,478.8,667.2,487.4,524.4,842.8,429.4,661.2,12.0,776.6,55.4,830.0,538.4,519.4,573.0,12
952.6,212.2,65.0,53.6,794.4,336.4,807.0,789.0,171.8,560.4,721.4,784.0,743.0,226.2,106.4,178.2,673.2,826.0,873.2,120.2,308.6,727.4,463.8,81.4,22.0,12
370.8,618.0,258.6,329.4,422.2,255.8,863.6,756.8,158.0,817.2,269.6,771.0,313.0,108.8,78.6,952.0,809.2,396.6,137.8,259.6,618.6,885.6,222.0,610.8,209.0,12
470.2,143.4,85.2,4.6,25.0,645.2,391.2,949.0,630.4,234.0,851.0,673.8,939.6,35.4,136.6,200.4,903.6,879.4,774.2,4.6,41.0,577.0,128.6,425.4,655.2,12
72.8,168.2,913.2,840.4,208.2,400.6,140.0,306.0,687.0,781.8,303.4,580.8,113.8,779.8,509.0,307.4,743.0,766.2,338.0,922.2,198.4,31.2,251.0,853.2,723.0,12
862.2,714.8,7.4,626.4,715.2,170.0,596.6,194.8,298.4,843.8,642.8,718.2,440.4,242.6,375.6,155.0,178.8,331.4,803.4,278.2,153.0,405.4,594.0,858.0,354.8,12
14.6,602.0,828.2,64.0,830.2,629.8,49.6,869.0,80.0,569.6,627.4,845.6,694.4,760.6,808.2,479.2,406.4,462.8,295.8,525.2,576.2,645.0,734.6,490.8,510.0,12
621.4,243.4,181.0,54.6,625.4,279.2,266.8,387.8,132.4,249.6,317.2,121.0,853.6,113.4,850.4,693.8,322.2,83.6,813.0,357.4,776.0,362.8,117.6,537.6,974.0,12
